2	左傳註	96.89
2	續齊諧記	96.90
2	食經	96.90
2	碎金	96.90
2	九經字㨾	96.91
2	古書	96.91
2	格古要論	96.92
2	集解	96.92
2	文字辨疑	96.93
2	楚漢春秋	96.93
2	農政全書	96.93
2	四部叢刊初編	96.94
2	宣室志	96.94
2	雲笈	96.95
2	古文易	96.95
2	洞靈經	96.95
2	國策	96.96
2	後周書	96.96
2	古今字譜	96.97
2	漢制攷	96.97
2	漢儀	96.98
2	折揚	96.98
2	皇荂	96.98
2	郡國志	96.99
2	嘉話錄	96.99
2	毛詩註疏	97.00
2	金匱要略	97.00
2	肘後方	97.00
2	炮炙論	97.01
2	濳夫論	97.01
2	篇海大成	97.02
2	古音攷	97.02
2	談藪	97.03
2	蠡海集	97.03
2	炙轂子	97.03
2	春秋左氏傳	97.04
2	臨海水土物志	97.04
2	廣博物志	97.05
2	春秋後語	97.05
2	成都記	97.05
2	司馬相如	97.06
2	補音	97.06
2	𩔖篇	97.07
2	字彙總略	97.07
2	東都事略	97.08
2	齊諧	97.08
2	留靑日札	97.08
2	月令	97.09
2	劉子雜俎	97.09
2	桯史	97.10
2	書史	97.10
2	太公兵法	97.10
2	字彙𥙷	97.11
2	左思	97.11
2	白帖	97.12
2	食譜	97.12
2	溪蠻叢笑	97.13
2	寶藏論	97.13
2	資暇集	97.13
2	書譜	97.14
2	貨泉錄	97.14
2	後山叢談	97.15
2	資治通鑑	97.15
2	雲門	97.15
2	聞奇錄	97.16
2	方隅勝略	97.16
2	魯詩	97.17
2	隱書	97.17
2	地理直音	97.18
2	集古錄	97.18
2	臨海異物志	97.18
2	駢志	97.19
2	九章算法	97.19
2	春秋榖梁	97.20
2	靈寶經	97.20
2	道地經	97.20
2	五韺	97.21
2	吳子	97.21
2	筆叢	97.22
2	魯論	97.22
2	夔州圖經	97.22
2	字樣	97.23
2	魚經	97.23
2	焦氏筆乗	97.24
2	周𩩙算經	97.24
2	列子口義	97.25
2	六書精蘊	97.25
2	絳守園記	97.25
2	五音《篇海	97.26
2	五嶽眞形圖	97.26
2	金液神氣經	97.27
2	太清金液神氣經	97.27
2	道書	97.27
2	冊府元龜	97.28
2	長編	97.28
2	馮少墟集	97.29
2	續仙傳	97.29
2	續世說	97.30
2	六度集	97.30
2	毘陵志	97.30
2	物類相感志	97.31
2	川韻	97.31
1	文選纂註	97.31
1	松窗小牘	97.32
1	詩序	97.32
1	考異郵	97.32
1	宋小說	97.32
1	陸疏廣要	97.32
1	莊子因	97.33
1	癸辛雜誌	97.33
1	漁隱叢話	97.33
1	三巴記	97.33
1	巴記	97.34
1	易說	97.34
1	開山圖	97.34
1	蠶書	97.34
1	潯江記	97.34
1	蓮華經	97.35
1	詩輯	97.35
1	筆記	97.35
1	漢武外史	97.35
1	律	97.35
1	林邑記	97.36
1	漢成帝紀	97.36
1	羨門式法	97.36
1	辨名記	97.36
1	萬物原始	97.36
1	名物志	97.37
1	耳目志	97.37
1	吳會志	97.37
1	桐譜	97.37
1	遁甲書	97.37
1	廻瀾字義	97.38
1	益都方物記	97.38
1	程傳	97.38
1	象	97.38
1	司馬光曰	97.39
1	名物疏	97.39
1	越郡志	97.39
1	南宋地理志	97.39
1	大𢁰	97.39
1	易緯通卦驗	97.40
1	漢郊祀歌	97.40
1	耒耜經	97.40
1	官僚備要	97.40
1	虎韜兵略篇	97.40
1	孫武	97.41
1	古音轉註	97.41
1	荆揚異物志	97.41
1	謝靈運	97.41
1	金城記	97.41
1	禪燈錄	97.42
1	東京歲時記	97.42
1	茅山志	97.42
1	陸疏	97.42
1	元包	97.42
1	固陵文類	97.43
1	棄珠崖議	97.43
1	楊億談苑	97.43
1	道院集	97.43
1	唐選舉志	97.44
1	河圖會昌符	97.44
1	昭明文選	97.44
1	漢書舊儀	97.44
1	文耀鉤	97.44
1	紀異錄	97.45
1	蜀本草	97.45
1	周禮冬官註	97.45
1	免疑韻	97.45
1	東臯雜錄	97.45
1	楞嚴	97.46
1	二老堂雜志	97.46
1	渾天說	97.46
1	應劭曰	97.46
1	三體詩註	97.46
1	春秋提要	97.47
1	榕城隨筆	97.47
1	三齊記	97.47
1	王褒講德論	97.47
1	花木記	97.47
1	燕禮	97.48
1	訓義	97.48
1	名臣奏議	97.48
1	通鑒外紀	97.48
1	二儀實錄	97.48
1	北周書	97.49
1	靑囊經	97.49
1	司馬光集	97.49
1	禮斗威儀	97.49
1	襄陽記	97.50
1	橘譜	97.50
1	武夷山志	97.50
1	五經字樣	97.50
1	集異記	97.50
1	篇類	97.51
1	理窟	97.51
1	皇極內篇	97.51
1	詩疏廣要	97.51
1	孔雀明王經	97.51
1	後周皇后紀	97.52
1	初月帖	97.52
1	內紀	97.52
1	翼雅	97.52
1	韻輯	97.52
1	紫雲韻	97.53
1	古易註	97.53
1	太公六韜篇	97.53
1	琵琶錄	97.53
1	樂譜	97.53
1	交趾事蹟	97.54
1	皇甫君𥓓	97.54
1	沙州記	97.54
1	鼠璞	97.54
1	格物要論	97.55
1	易經考異	97.55
1	廣倉	97.55
1	芸窻私志	97.55
1	項氏家訓	97.55
1	劉蛻文集	97.56
1	柳子厚集	97.56
1	三蒼詁	97.56
1	射經	97.56
1	游宦記聞	97.56
1	黃庭堅集	97.57
1	高彪傳	97.57
1	冷齋夜話	97.57
1	復齋復錄	97.57
1	禮記釋文	97.57
1	外史檮杌	97.58
1	王霸記	97.58
1	大品經說	97.58
1	爾釋	97.58
1	述異記	97.58
1	貢籍	97.59
1	俗書正訛	97.59
1	辨正論	97.59
1	黃帝八十一難經	97.59
1	中𠋫	97.60
1	六朝事迹	97.60
1	毛詩正義	97.60
1	尚德緩𠛬書	97.60
1	尚書緯	97.60
1	易乾坤鑿度	97.61
1	三齊略記	97.61
1	龍龕手鏡	97.61
1	爰歷	97.61
1	爰歷篇	97.61
1	普曜經	97.62
1	金液神氣經	97.62
1	海鹽圖經	97.62
1	公孫子	97.62
1	漢書古文	97.62
1	集要	97.63
1	搜採異聞錄	97.63
1	宣底	97.63
1	晉公談錄	97.63
1	匡謬正俗	97.63
1	王叔師集	97.64
1	仙遊錄	97.64
1	論語撰考	97.64
1	太公隂謀	97.64
1	五殘雜變星	97.65
1	章句	97.65
1	昊英氏論	97.65
1	外傳	97.65
1	鉤命決	97.65
1	左傳註疏	97.66
1	論語摘輔像	97.66
1	法苑	97.66
1	古音畧	97.66
1	眞𦠼風土記	97.66
1	仇池筆記	97.67
1	祥異記	97.67
1	番禺雜記	97.67
